dienststelle,code,lat,lon,notiz,genauigkeit
S-02,2344,50.915415,6.981046,OSM-Abgleich: Geocoder fand nur den Stadtteil; ersetzt durch OSM-Straßenmitte im Stadtteil (±850 m),strasse
S-02,2353,50.949748,7.046468,OSM-Abgleich: Geocoder-Punkt 186 m von der OSM-Adresse entfernt; ersetzt durch OSM-Adresse Nr. 2–66,hausnummer
S-02,2367,,,OSM-Abgleich: Geocoder fand nur den Stadtteil; Straße im Stadtteil zu lang für einen verlässlichen Punkt (±2000 m) → weggelassen,
S-02,2378,50.944012,6.931672,OSM-Abgleich: Geocoder fand nur den Stadtteil; ersetzt durch OSM-Straßenmitte im Stadtteil (±560 m),strasse
S-02,2381,50.927525,6.999382,OSM-Abgleich: Geocoder fand nur die Straße; ersetzt durch OSM-Adresse Nr. 216,hausnummer
S-02,2418,50.983620,7.068004,OSM-Abgleich: Geocoder-Punkt 178 m von der OSM-Adresse entfernt; ersetzt durch OSM-Adresse Nr. 3–35,hausnummer
S-02,2424,50.915415,6.981046,OSM-Abgleich: Geocoder fand nur den Stadtteil; ersetzt durch OSM-Straßenmitte im Stadtteil (±850 m),strasse
S-02,2425,50.915415,6.981046,OSM-Abgleich: Geocoder fand nur den Stadtteil; ersetzt durch OSM-Straßenmitte im Stadtteil (±850 m),strasse
S-02,2427,50.983620,7.068004,OSM-Abgleich: Geocoder-Punkt 178 m von der OSM-Adresse entfernt; ersetzt durch OSM-Adresse Nr. 35–3,hausnummer
S-02,2433,50.915415,6.981046,OSM-Abgleich: Geocoder fand nur den Stadtteil; ersetzt durch OSM-Straßenmitte im Stadtteil (±850 m),strasse
S-02,2434,50.915415,6.981046,OSM-Abgleich: Geocoder fand nur den Stadtteil; ersetzt durch OSM-Straßenmitte im Stadtteil (±850 m),strasse
S-02,2436,50.917426,7.074689,OSM-Abgleich: Geocoder fand nur den Stadtteil; ersetzt durch OSM-Adresse Nr. 49–37,hausnummer
S-02,2452,50.971064,7.032138,OSM-Abgleich: Geocoder fand nur den Stadtteil; ersetzt durch OSM-Straßenmitte im Stadtteil (±560 m),strasse
S-02,2453,50.971064,7.032138,OSM-Abgleich: Geocoder fand nur den Stadtteil; ersetzt durch OSM-Straßenmitte im Stadtteil (±560 m),strasse
S-02,2467,50.923234,6.974861,OSM-Abgleich: Geocoder fand nur den Stadtteil; ersetzt durch OSM-Straßenmitte im Stadtteil (±660 m),strasse
S-02,2468,50.923234,6.974861,OSM-Abgleich: Geocoder fand nur den Stadtteil; ersetzt durch OSM-Straßenmitte im Stadtteil (±660 m),strasse
S-02,2483,50.892227,6.986001,OSM-Abgleich: Geocoder fand nur die Straße; ersetzt durch OSM-Adresse Nr. 15–49,hausnummer
S-02,2497,50.850261,7.091904,OSM-Abgleich: Geocoder fand nur den Stadtteil; ersetzt durch OSM-Adresse Nr. 90–70,hausnummer
S-02,2498,50.850261,7.091904,OSM-Abgleich: Geocoder fand nur den Stadtteil; ersetzt durch OSM-Adresse Nr. 70–90,hausnummer
S-02,2518,50.969655,7.049092,OSM-Abgleich: Geocoder-Punkt 214 m von der OSM-Adresse entfernt; ersetzt durch OSM-Adresse Nr. 12–100,hausnummer
S-02,2519,50.969655,7.049092,OSM-Abgleich: Geocoder-Punkt 213 m von der OSM-Adresse entfernt; ersetzt durch OSM-Adresse Nr. 100–12,hausnummer
S-02,2523,50.968379,6.841994,"OSM-Abgleich: Geocoder-Punkt lag in Zündorf, nicht in Widdersdorf; ersetzt durch OSM-Adresse Nr. 117",hausnummer
S-02,2527,50.948588,6.884481,OSM-Abgleich: Geocoder-Punkt 205 m von der OSM-Adresse entfernt; ersetzt durch OSM-Adresse Nr. 22b,hausnummer
S-02,2531,50.894622,6.987615,OSM-Abgleich: Geocoder-Punkt 236 m von der OSM-Adresse entfernt; ersetzt durch OSM-Adresse Nr. 19–47,hausnummer
S-02,2535,,,OSM-Abgleich: Geocoder fand nur den Stadtteil; Straße im Stadtteil zu lang für einen verlässlichen Punkt (±1010 m) → weggelassen,
S-02,2539,50.940658,7.001120,OSM-Abgleich: Geocoder-Punkt 301 m von der OSM-Adresse entfernt; ersetzt durch OSM-Adresse Nr. 2–150,hausnummer
